123KIDS,"107-113 Hallam Road, HAMPTON PARK, VIC 3976",HAMPTON PARK,3976,Centre-Based Care,153,Meeting NQS
3 Apples Childcare Centre & Kindergarten,"104 Balwyn Road, BALWYN, VIC 3103",BALWYN,3103,Centre-Based Care,45,Meeting NQS
3 Bees Early Learning Centre,"22-24 Ferntree Gully Road, OAKLEIGH, VIC 3166",OAKLEIGH,3166,Centre-Based Care,47,Meeting NQS
325 Early Education Craigieburn,"16 Bridgewater Road, CRAIGIEBURN, VIC 3064",CRAIGIEBURN,3064,Centre-Based Care,38,Meeting NQS
3C Kidz Care - Maranatha,"62 Rix Rd, OFFICER, VIC 3809",OFFICER,3809,Centre-Based Care,30,Meeting NQS
3C KIDZ CARE - MARANATHA VAC,"Maranatha Christian School  146 Kidds Road, DOVETON, VIC 3177",DOVETON,3177,Centre-Based Care,60,Provisional – Not Yet Assessed
3C Kidz Care - Waverley NWS,"20 College Dr, NARRE WARREN SOUTH, VIC 3805",NARRE WARREN SOUTH,3805,Centre-Based Care,30,Provisional – Not Yet Assessed
3C Kidz Care Chairo,"Chairo Christian College  585 Bald Hill Rd, PAKENHAM, VIC 3810",PAKENHAM,3810,Centre-Based Care,30,Working Towards NQS
3C Kidz Care MECS,"135-141 York Rd, MONTROSE, VIC 3765",MONTROSE,3765,Centre-Based Care,30,Meeting NQS
3C Kidz Care- St Catherines,"73 Ridgemont Drive, BERWICK, VIC 3806",BERWICK,3806,Centre-Based Care,60,Working Towards NQS
3C Kidzcare Waverley,"1248 High Street Rd, WANTIRNA SOUTH, VIC 3152",WANTIRNA SOUTH,1248,Centre-Based Care,60,Working Towards NQS
A G Leech Kindergarten,"26 Alma Street, MARYBOROUGH, VIC 3465",MARYBOROUGH,3465,Centre-Based Care,29,Exceeding NQS
A Step Ahead Early Learning Camberwell,"164-168 Warrigal Road, CAMBERWELL, VIC 3124",CAMBERWELL,3124,Centre-Based Care,98,Working Towards NQS
A Step Ahead Early Learning Ringwood,"290 - 292 Maroondah Highway, RINGWOOD, VIC 3134",RINGWOOD,3134,Centre-Based Care,125,Meeting NQS
A Step Ahead Early Learning St Kilda,"89 Westbury Street, ST KILDA EAST, VIC 3183",ST KILDA EAST,3183,Centre-Based Care,60,Working Towards NQS
A1 Family Day Care,"9 Loxton St, TARNEIT, VIC 3029",TARNEIT,3029,Family Day Care,,Working Towards NQS
Abacus Child Care Centre,"3-5 William Street, GREENSBOROUGH, VIC 3088",GREENSBOROUGH,3088,Centre-Based Care,75,Exceeding NQS
ABC KIDZ,"27 Sorrento St, BROADMEADOWS, VIC 3047",BROADMEADOWS,3047,Family Day Care,,Provisional – Not Yet Assessed
Abeles Liberman Preschool,"81 Balaclava Road, CAULFIELD SOUTH, VIC 3162",CAULFIELD SOUTH,3162,Centre-Based Care,140,Exceeding NQS
Aberdeen Street Early Learning & Kinder,"19 Aberdeen Street, NEWTOWN, VIC 3220",NEWTOWN,3220,Centre-Based Care,104,Working Towards NQS
Abiel Family Day Care Pty Ltd,"1 Hunt Court, SUNSHINE WEST, VIC 3020",SUNSHINE WEST,3020,Family Day Care,,Working Towards NQS
Acacia Avenue Preschool,"35 Acacia Avenue, MENTONE, VIC 3194",MENTONE,3194,Centre-Based Care,28,Meeting NQS
Acacia Children's Centre,"13 Belgium Avenue, RICHMOND, VIC 3121",RICHMOND,3121,Centre-Based Care,43,Meeting NQS
Acacia Children's Centre - St Albans,"159 Taylors Rd, ST ALBANS, VIC 3021",ST ALBANS,3021,Centre-Based Care,68,Exceeding NQS
Acacia Fitzroy Creche,"187 Napier Street, FITZROY, VIC 3065",FITZROY,3065,Centre-Based Care,55,Meeting NQS
Academy For Kids,"237 Spring Street, RESERVOIR, VIC 3073",RESERVOIR,3073,Centre-Based Care,50,Working Towards NQS
Academy For Kids Coburg,"562 Sydney Road, COBURG, VIC 3058",COBURG,3058,Centre-Based Care,50,Working Towards NQS
Academy For Kids Glen Waverley,"33 Ashton Street, GLEN WAVERLEY, VIC 3150",GLEN WAVERLEY,3150,Centre-Based Care,50,Working Towards NQS
Academy For Kids Preston West,"Cnr Breen and Cooper Street, PRESTON WEST, VIC 3072",PRESTON WEST,3072,Centre-Based Care,50,Working Towards NQS
ACE Child Care Centre,"2 Renshaw Street, DONCASTER EAST, VIC 3109",DONCASTER EAST,3109,Centre-Based Care,34,Meeting NQS
Ada Mary A'beckett Children's Centre Inc,"7 Cumberland Road, PORT MELBOURNE, VIC 3207",PORT MELBOURNE,3207,Centre-Based Care,142,Exceeding NQS
Adass Israel Preschool,"10-12 King Street, ELSTERNWICK, VIC 3185",ELSTERNWICK,3185,Centre-Based Care,148,Exceeding NQS
Adventurous Family Day Care,"54 Everard St, GLENROY, VIC 3046",GLENROY,3046,Family Day Care,,Working Towards NQS
Affordable Family Day Care,"107 Foster Street, DANDENONG, VIC 3175",DANDENONG,3175,Family Day Care,,Meeting NQS
After The Bell Aus- Bayswater Primary School,"Bayswater Primary School  2 Birch St, BAYSWATER, VIC 3153",BAYSWATER,3153,Centre-Based Care,30,Provisional – Not Yet Assessed
